FIPS*,,Name,RUC Code,Percent (All people in poverty (2023)),Lower Bound (All people in poverty (2023)),Upper Bound (All people in poverty (2023)),Percent (Children ages 0-17 in poverty (2023)),Lower Bound (Children ages 0-17 in poverty (2023)),Upper Bound (Children ages 0-17 in poverty (2023))
48487,,Wilbarger,6,16.9,13.4,20.4,25,18.2,31.8
48489,,Willacy,6,27.8,21.5,34.1,34.9,23.8,46
48491,,Williamson,1,6.4,5.7,7.1,7.2,5.7,8.7
48493,,Wilson,1,9.9,7.8,12,13.8,10.2,17.4
48495,,Winkler,6,13.5,10.2,16.8,17.6,12,23.2
48497,,Wise,1,9.4,7.4,11.4,12.1,8.6,15.6
48499,,Wood,6,15.2,12.3,18.1,22,15.9,28.1
48501,,Yoakum,9,13,9.9,16.1,17,11.7,22.3
48503,,Young,7,14.5,11.3,17.7,20.1,14.4,25.8
48505,,Zapata,6,30.4,24.5,36.3,43.9,31.7,56.1
48507,,Zavala,7,28.9,22.5,35.3,42.5,30.4,54.6
,,,,,,,,,
"
See important notes about intercensal model-based poverty estimates.

*The 2023 Rural-urban Continuum Codes classify metropolitan counties (codes 1 through 3) by the population of the Metropolitan Statistical Area (MSA) and nonmetropolitan counties (codes 4 through 9) by degree of urbanization and proximity to metro areas. See rural-urban continuum codes for precise definitions of each code.

Source: Census Bureau, Small Area Income and Poverty Estimates.",,,,,,,,,
,,,,,,,,,
*See the Census Bureau web site for a description of FIPS codes.,,,,,,,,,
